# ＠データ２（６０分）
# ＠収集年月日：２００１年１０月１６日
# ＠場所：ファミリーレストランガスト
# ＠参加者F107：女性３０代後半、愛知県幡豆郡出身、愛知県幡豆郡在住
# ＠参加者F023：女性４０代後半、岐阜県出身、愛知県幡豆郡在住
# ＠参加者F128：女性２０代前半、愛知県西尾市出身、同市在住
# ＠参加者の関係：英会話教室の友人
# ％ｃｏｍ：F023は出身地に２６歳まで居住。
F107	今度はーイギリスにもアメリカと同様のテロが起こるだろうって言ったんだってよ。
F128	へえー。
F023	ほんとお。
F107	うん。
F107	きのうのテレビで声明を出したとか言って、ビンラディン氏がイギリスにもアメリカと同様のことが起こるだろうって言ったじゃんね。
F128	うそー。
F107	へーとか思ってさ。
F023	２〜３日前にさあ、アルカイーダのスポークスマンていうのがあ。
F107	あ、言った、言った。
F107	なんか大き、高いビルには。
F023	世界中のイスラム教徒に告げるって言って、高いビルには近づくな。
F023	飛行機には乗るなって言ったんだよ。
F107	言ったんだよ。
F023	イスラム教徒を、に、は。
F107	そう、向かって。
F023	その、あの、危険を避けるために警告するって言って。
F128	うそー。
F023	ほーんとー。
F128	ちょっとすごい怖いけどー。
F107	それが、それを私は聞いて、で、きのうにビンラディン氏がせん、どっかに声明を出したには、イギリスにもアメリカと同様のことが起こる。
F107	だから結構もう、あの、（うーん）なんていうの、タリバンがだめになってきて、あの、なんていうの、あんまりこうアメリカ優勢とか言っとるじゃーん。
F107	だけどそれにもかかわらずビンラディン氏はすごくもう強気でそういうことを言ってたっていうのをきのう聞いて、へーとか思って、怖いじゃんね。
F128	ちょっと怖いねー。
F023	だから、もうなんか飛行機会社によってはアラブ人というだけで乗せない飛行機会社いっぱいいるんだって。
F023	今。
F023	もうピリピリしちゃって。
F128	うそー。
F128	そらそうだけど。
F107	ど、どー、どー、どーんなもんみたいな。
F107	しょおー。
F023	私たちはさあなんかまだアタックが始まる前に行っちゃったからー。
F107	ほいでさー、私たちさあ。
F023	のんきに結構さあ。
F128	知らなかったんだよね。
F107	あのね、知らなかったっていうか、あれね、日曜日に起こったじゃん。
F107	そんでさあ。
F107	私たちさあ。
F023	テレビがなかったの。
F107	日曜日の夜からテレビがない部屋だったの。
F023	それまでテレビあったのにさあ。
F023	＜笑い＞
F023	それまであったのに
F128	ない生活。
F023	ちょうどない生活の１日目にさあ、アタックが起こってたの。
F107	そうそう。
F107	んで、さらにその月曜日にあって、知ってるとか言われて、えっ何が。
F107	＜笑い＞
F128	えって、何がって。
F128	＜笑い＞
F023	そう。
F107	アタックしたのよって言うから、えーって言って。
F107	（へー）
F107	で、なんか、あのー、私はそのテロが起こってから初めて今日はちょっと怖いっていう感じがするとか言って、で、昨日アタックしたからアメリカが、アメリカとイギリスがアタックしたから、今日初めて怖いっていう感じがするって言ってたのよね。
F107	（うーん）
F023	あっちにもこっちにもポリスがいっぱいいたから、こんなにポリスがいるのは見たことがないって言って、（あー）アンダーグラウンドの中にもいっぱいいたし。
F107	そう。
F107	ミニバスにポリスがいっぱい乗ってね、なんか休憩してたりするんだよね。
F023	そう、そう、そう、そう。
F023	あのね、ポリス・オフィスのおっきなビルのーちょっと裏の道のところに、ミニバスがあれ２０台ぐらいでなかったか、１０何台はあったよね。
F023	ダーと並んでて、（うん、うん、うん、うん）で、ポリスが中で休憩してた。
F128	へー。
F128	それやっぱアタックが始まったから？
F107	というかね、あのね。
F023	警戒がすごく。
F107	ていうかね、テロがまずアメリカで起こってからは結構強かったんだけど、また増員したみたいだもんで。
F023	すごい警戒のためにすごーく動員してるっていうの。
F023	（へー）
F023	でさあ、あっちにもこっちにもポリス。
F107	ハウス・オブ・パーラメント、あのビッグベンのところ、あれ国会をやるところなんだけど、あのー、そこに止めるじゃん。
F107	で、入ってくる車を止めて、ボンネットを開けて爆弾積んでないかなって見るじゃん。
F107	で、地面がガラス張りになってて。
F023	下からライトが当たっとるじゃん。
F128	ライト？
F023	そう。
F023	だからちょうどこのロータリーになったところのちょうど正面の真ん前のところが四角くガラス張りになってて、下からこう明るくライトが当たっとって。
F107	下から見えるように。
F107	だから車の下に爆弾ついてないかなって見る。
F128	へー。
F128	こわーい。
F023	で、１台１台そこで止めて、ほいで、こうボンネットとかトランクも開けさせて見て、（うんうん）そこで通してる、そこ。
F023	＊＊＊。
F023	（へー）
F107	で、あと首相のあの人が住んでるところ、ブレアさんが住んでるところ、いっぱいいた。
F128	そんな厳しいんだ。
